Bought Item,Confidence,Expected To Be Bought,Lift,Support,_id
Mint Sauce,0.3263888888888889,Saag Aloo,3.662170807742416,0.003508248115249683,92
Onion Bhajee,0.25257731958762886,Onion Chutney,3.278854990809558,0.0036575352690900948,93
Onion Chutney,0.12112403100775193,Plain Papadum,4.758647048125668,0.009330447115025751,94
Plain Rice,0.32713754646840154,Onion Chutney,4.24676522290424,0.00656863476897813,95
Onion Chutney,0.3351648351648352,Red Sauce,6.752185408576386,0.004553258192132567,96
Spicy Papadum,0.13129102844638948,Onion Chutney,9.664318176353186,0.004478614615212361,97
Red Sauce,0.11729323308270675,Plain Papadum,4.608144995920887,0.005822198999776069,98
Plain Rice,0.16728624535315986,Red Sauce,3.370126058641026,0.0033589609614092706,99
Spicy Papadum,0.1159737417943107,Plain Rice,5.775837244677994,0.0039561095767709185,100
Chicken Chaat,0.8378378378378378,Plain Papadum,3.12138863000932,0.004627901769052773,101
Chicken Pakora,0.46601941747572817,Mango Chutney,3.017526406922344,0.0035828916921698886,102
Chicken Shashlick,0.2322946175637394,None,18.975920679886688,0.006120773307456894,103
Chicken Shashlick,0.47321428571428564,Mango Chutney,3.064113961195884,0.0039561095767709185,104
Chicken Shashlick,0.11898016997167138,Onion Chutney,3.3207861189801697,0.0031350302306486525,105
Chicken Shashlick,0.46428571428571425,Mint Sauce,4.251562347427009,0.003881465999850713,106
Onion Chutney,0.9375,Plain Papadum,3.4926828420467184,0.0033589609614092706,107
Chicken Shashlick,0.11898016997167138,Red Sauce,3.1439395209279715,0.0031350302306486525,108
Lamb Tikka,0.17916666666666667,Chicken Tikka,3.468635597302505,0.0032096738075688587,109
Mango Chutney,0.4137931034482758,Mint Sauce,3.789190845452188,0.0035828916921698886,110
Chicken Tikka,0.3485714285714286,Mint Sauce,3.191942193145201,0.004553258192132567,111
Onion Chutney,0.891304347826087,Plain Papadum,3.320579629540069,0.003060386653728447,112
Mango Chutney,0.38281249999999994,Mint Sauce,3.505494916267942,0.0036575352690900948,113
Mint Sauce,0.39622641509433965,Onion Chutney,5.1436485300570425,0.0031350302306486525,114
Saag Bhajee,0.3146551724137931,None,5.236565645748554,0.005448981115175039,115
Onion Chutney,0.8358208955223881,Plain Papadum,3.113874454202846,0.004180040307531537,116
Plain Papadum,0.1626984126984127,Red Sauce,3.2777002028881728,0.003060386653728447,117
Chicken Tikka Biryani,0.5257731958762887,Mango Chutney,3.4044386201810726,0.0038068224229305067,118
Chicken Tikka Garlic,0.20398009950248758,Mango Chutney,4.959566956506036,0.003060386653728447,119
Chicken Tikka Garlic,0.25870646766169153,Mango Chutney,5.924599226091764,0.003881465999850713,120
